PING 172.16.114.238 (172.16.114.238) 56(84) bytes of data.
64 bytes from 172.16.114.238: icmp_seq=174 ttl=61 time=13.4 ms
64 bytes from 172.16.114.238: icmp_seq=175 ttl=61 time=4.55 ms
64 bytes from 172.16.114.238: icmp_seq=176 ttl=61 time=0.526 ms
64 bytes from 172.16.114.238: icmp_seq=177 ttl=61 time=0.378 ms
64 bytes from 172.16.114.238: icmp_seq=178 ttl=61 time=0.423 ms
64 bytes from 172.16.114.238: icmp_seq=179 ttl=61 time=0.881 ms
64 bytes from 172.16.114.238: icmp_seq=180 ttl=61 time=0.326 ms
64 bytes from 172.16.114.238: icmp_seq=181 ttl=61 time=0.506 ms
64 bytes from 172.16.114.238: icmp_seq=182 ttl=61 time=0.518 ms
64 bytes from 172.16.114.238: icmp_seq=183 ttl=61 time=0.484 ms
64 bytes from 172.16.114.238: icmp_seq=184 ttl=61 time=0.584 ms
64 bytes from 172.16.114.238: icmp_seq=185 ttl=61 time=1.17 ms
64 bytes from 172.16.114.238: icmp_seq=186 ttl=61 time=0.557 ms
64 bytes from 172.16.114.238: icmp_seq=187 ttl=61 time=0.589 ms
64 bytes from 172.16.114.238: icmp_seq=188 ttl=61 time=0.374 ms
64 bytes from 172.16.114.238: icmp_seq=189 ttl=61 time=0.317 ms
64 bytes from 172.16.114.238: icmp_seq=190 ttl=61 time=0.565 ms
64 bytes from 172.16.114.238: icmp_seq=191 ttl=61 time=0.700 ms
64 bytes from 172.16.114.238: icmp_seq=192 ttl=61 time=0.485 ms
64 bytes from 172.16.114.238: icmp_seq=193 ttl=61 time=0.363 ms
64 bytes from 172.16.114.238: icmp_seq=194 ttl=61 time=0.800 ms
64 bytes from 172.16.114.238: icmp_seq=195 ttl=61 time=0.526 ms
64 bytes from 172.16.114.238: icmp_seq=196 ttl=61 time=0.361 ms
64 bytes from 172.16.114.238: icmp_seq=197 ttl=61 time=0.495 ms
64 bytes from 172.16.114.238: icmp_seq=198 ttl=61 time=0.687 ms
64 bytes from 172.16.114.238: icmp_seq=199 ttl=61 time=0.370 ms
64 bytes from 172.16.114.238: icmp_seq=200 ttl=61 time=0.491 ms
64 bytes from 172.16.114.238: icmp_seq=201 ttl=61 time=0.490 ms
64 bytes from 172.16.114.238: icmp_seq=202 ttl=61 time=0.530 ms
64 bytes from 172.16.114.238: icmp_seq=203 ttl=61 time=0.484 ms
64 bytes from 172.16.114.238: icmp_seq=204 ttl=61 time=0.488 ms
64 bytes from 172.16.114.238: icmp_seq=205 ttl=61 time=0.607 ms
64 bytes from 172.16.114.238: icmp_seq=206 ttl=61 time=0.497 ms
64 bytes from 172.16.114.238: icmp_seq=207 ttl=61 time=0.481 ms
64 bytes from 172.16.114.238: icmp_seq=208 ttl=61 time=0.260 ms
64 bytes from 172.16.114.238: icmp_seq=209 ttl=61 time=0.404 ms
64 bytes from 172.16.114.238: icmp_seq=210 ttl=61 time=3.14 ms
64 bytes from 172.16.114.238: icmp_seq=211 ttl=61 time=0.533 ms
64 bytes from 172.16.114.238: icmp_seq=212 ttl=61 time=0.382 ms
64 bytes from 172.16.114.238: icmp_seq=213 ttl=61 time=0.398 ms
64 bytes from 172.16.114.238: icmp_seq=214 ttl=61 time=0.508 ms
64 bytes from 172.16.114.238: icmp_seq=215 ttl=61 time=0.535 ms
64 bytes from 172.16.114.238: icmp_seq=216 ttl=61 time=0.536 ms
